county_state,fips,sex,sex_code,year,cause_of_death,cod_code,place_of_death,place_of_death_code,deaths,median_income,population,poverty_rate,unemployment_rate,facility_count,overdose_rate,facility_rate
"Maricopa County, AZ",04013,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,91.0,89300,4559748,11.0,4.5,207.0,1.9957243251162124,4.53972456372589
"Maricopa County, AZ",04013,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,62.0,89300,4559748,11.0,4.5,207.0,1.359724265463793,4.53972456372589
"Maricopa County, AZ",04013,Female,F,2024.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,Decedent's home,4.0,24.0,89300,4559748,11.0,4.5,207.0,0.5263448769537264,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Medical Facility - Inpatient,1.0,16.0,89300,4559748,11.0,4.5,207.0,0.35089658463581763,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Medical Facility - Outpatient or ER,2.0,44.0,89300,4559748,11.0,4.5,207.0,0.9649656077484983,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Decedent's home,4.0,64.0,89300,4559748,11.0,4.5,207.0,1.4035863385432705,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Other,7.0,109.0,89300,4559748,11.0,4.5,207.0,2.3904829828315073,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Medical Facility - Inpatient,1.0,39.0,89300,4559748,11.0,4.5,207.0,0.8553104250498053,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Medical Facility - Outpatient or ER,2.0,42.0,89300,4559748,11.0,4.5,207.0,0.9211035346690212,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,107.0,89300,4559748,11.0,4.5,207.0,2.3466209097520303,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Other,7.0,74.0,89300,4559748,11.0,4.5,207.0,1.6228967039406563,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Medical Facility - Inpatient,1.0,58.0,89300,4559748,11.0,4.5,207.0,1.272000119304839,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Medical Facility - Outpatient or ER,2.0,109.0,89300,4559748,11.0,4.5,207.0,2.3904829828315073,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,183.0,89300,4559748,11.0,4.5,207.0,4.013379686772164,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,227.0,89300,4559748,11.0,4.5,207.0,4.978345294520662,4.53972456372589
"Maricopa County, AZ",04013,Male,M,2024.0,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,Decedent's home,4.0,10.0,89300,4559748,11.0,4.5,207.0,0.219310365397386,4.53972456372589
"Mohave County, AZ",04015,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,14.0,57684,220517,16.1,7.3,23.0,6.348716878970782,10.430034872594856
"Pima County, AZ",04019,Female,F,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,13.0,70315,1060490,14.3,5.5,68.0,1.2258484285566107,6.412130241680733
"Pima County, AZ",04019,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,29.0,70315,1060490,14.3,5.5,68.0,2.7345849560109006,6.412130241680733
"Pima County, AZ",04019,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,12.0,70315,1060490,14.3,5.5,68.0,1.1315523955907176,6.412130241680733
"Pima County, AZ",04019,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Medical Facility - Inpatient,1.0,10.0,70315,1060490,14.3,5.5,68.0,0.9429603296589312,6.412130241680733
"Pima County, AZ",04019,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Medical Facility - Outpatient or ER,2.0,12.0,70315,1060490,14.3,5.5,68.0,1.1315523955907176,6.412130241680733
"Pima County, AZ",04019,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Decedent's home,4.0,25.0,70315,1060490,14.3,5.5,68.0,2.3574008241473283,6.412130241680733
"Pima County, AZ",04019,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Other,7.0,20.0,70315,1060490,14.3,5.5,68.0,1.8859206593178623,6.412130241680733
"Pima County, AZ",04019,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,40.0,70315,1060490,14.3,5.5,68.0,3.7718413186357247,6.412130241680733
"Pima County, AZ",04019,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Other,7.0,32.0,70315,1060490,14.3,5.5,68.0,3.01747305490858,6.412130241680733
"Pima County, AZ",04019,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Medical Facility - Inpatient,1.0,13.0,70315,1060490,14.3,5.5,68.0,1.2258484285566107,6.412130241680733
"Pima County, AZ",04019,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,48.0,70315,1060490,14.3,5.5,68.0,4.5262095823628705,6.412130241680733
"Pima County, AZ",04019,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,53.0,70315,1060490,14.3,5.5,68.0,4.997689747192336,6.412130241680733
"Pinal County, AZ",04021,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,10.0,80266,469006,11.1,6.0,27.0,2.13216888483303,5.756855989049181
"Pinal County, AZ",04021,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,10.0,80266,469006,11.1,6.0,27.0,2.13216888483303,5.756855989049181
"Yavapai County, AZ",04025,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,11.0,69613,245480,12.0,4.3,33.0,4.48101678344468,13.443050350334039
"Pulaski County, AR",05119,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,10.0,62873,399818,16.7,4.7,22.0,2.501138017798098,5.502503639155816
"Pulaski County, AR",05119,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,14.0,62873,399818,16.7,4.7,22.0,3.5015932249173374,5.502503639155816
"Alameda County, CA",06001,Female,F,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,13.0,129367,1649473,9.2,5.4,10.0,0.7881305119877682,0.6062542399905909
"Alameda County, CA",06001,Female,F,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Other,7.0,10.0,129367,1649473,9.2,5.4,10.0,0.6062542399905909,0.6062542399905909
"Alameda County, CA",06001,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,15.0,129367,1649473,9.2,5.4,10.0,0.9093813599858863,0.6062542399905909
"Alameda County, CA",06001,Female,F,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,13.0,129367,1649473,9.2,5.4,10.0,0.7881305119877682,0.6062542399905909
"Alameda County, CA",06001,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Decedent's home,4.0,25.0,129367,1649473,9.2,5.4,10.0,1.5156355999764772,0.6062542399905909
"Alameda County, CA",06001,Male,M,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Other,7.0,17.0,129367,1649473,9.2,5.4,10.0,1.0306322079840047,0.6062542399905909
"Alameda County, CA",06001,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,42.0,129367,1649473,9.2,5.4,10.0,2.546267807960482,0.6062542399905909
"Alameda County, CA",06001,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Other,7.0,23.0,129367,1649473,9.2,5.4,10.0,1.3943847519783592,0.6062542399905909
"Alameda County, CA",06001,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Decedent's home,4.0,54.0,129367,1649473,9.2,5.4,10.0,3.2737728959491914,0.6062542399905909
"Alameda County, CA",06001,Male,M,2024.0,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,Other,7.0,56.0,129367,1649473,9.2,5.4,10.0,3.395023743947309,0.6062542399905909
"Butte County, CA",06007,Female,F,2024.0,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",X41,Decedent's home,4.0,13.0,67928,207929,19.2,7.5,8.0,6.252134141942682,3.8474671642724196
"Butte County, CA",06007,Male,M,2024.0,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",X42,Decedent's home,4.0,10.0,67928,207929,19.2,7.5,8.0,4.809333955340525,3.8474671642724196
