"Notes","County","County Code","Sex","Sex Code","Year","Year Code","Cause of death","Cause of death Code","Place of Death","Place of Death Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Riverside County, CA","06065","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",124,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Riverside County, CA","06065","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",159,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Female","F","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Female","F","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Medical Facility - Outpatient or ER","2",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",52,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",51,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Inpatient","1",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Outpatient or ER","2",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",51,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",49,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",69,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sacramento County, CA","06067","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",102,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1","Decedent's home","4",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1","Other","7",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Medical Facility - Outpatient or ER","2",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Inpatient","1",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Outpatient or ER","2",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",80,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",67,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Inpatient","1",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",49,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Bernardino County, CA","06071","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",95,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Female","F","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Female","F","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Inpatient","1",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Medical Facility - Inpatient","1",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Medical Facility - Outpatient or ER","2",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Inpatient","1",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Outpatient or ER","2",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",97,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Inpatient","1",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",136,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Diego County, CA","06073","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",139,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Inpatient","1",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",141,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Inpatient","1",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",121,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Francisco County, CA","06075","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",71,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Inpatient","1",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Outpatient or ER","2",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Joaquin County, CA","06077","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Luis Obispo County, CA","06079","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Luis Obispo County, CA","06079","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Luis Obispo County, CA","06079","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Luis Obispo County, CA","06079","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Mateo County, CA","06081","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Mateo County, CA","06081","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Mateo County, CA","06081","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"San Mateo County, CA","06081","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Barbara County, CA","06083","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Barbara County, CA","06083","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Barbara County, CA","06083","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Barbara County, CA","06083","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Medical Facility - Inpatient","1",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Medical Facility - Outpatient or ER","2",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Clara County, CA","06085","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Cruz County, CA","06087","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Cruz County, CA","06087","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Cruz County, CA","06087","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Cruz County, CA","06087","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Santa Cruz County, CA","06087","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Shasta County, CA","06089","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Shasta County, CA","06089","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Solano County, CA","06095","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Solano County, CA","06095","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Solano County, CA","06095","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Solano County, CA","06095","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Solano County, CA","06095","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sonoma County, CA","06097","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sonoma County, CA","06097","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sonoma County, CA","06097","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sonoma County, CA","06097","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Stanislaus County, CA","06099","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Stanislaus County, CA","06099","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Stanislaus County, CA","06099","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Stanislaus County, CA","06099","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Stanislaus County, CA","06099","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Stanislaus County, CA","06099","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Tulare County, CA","06107","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Tulare County, CA","06107","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Tulare County, CA","06107","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ventura County, CA","06111","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Ventura County, CA","06111","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
