"Notes","County","County Code","Sex","Sex Code","Year","Year Code","Cause of death","Cause of death Code","Place of Death","Place of Death Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Anchorage Borough, AK","02020","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apache County, AZ","04001","Male","M","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Medical Facility - Inpatient","1",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Medical Facility - Outpatient or ER","2",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Outpatient or ER","2",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Decedent's home","4",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Other","7",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Inpatient","1",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Medical Facility - Outpatient or ER","2",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Decedent's home","4",79,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44","Other","7",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Female","F","2023","2023","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64","Decedent's home","4",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Medical Facility - Inpatient","1",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Medical Facility - Outpatient or ER","2",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Decedent's home","4",52,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41","Other","7",73,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Male","M","2023","2023","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42","Medical Facility - Inpatient","1",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
